orchestra_id,orchestra,orchestra_count,date,title,text,link
192,ピストンクラブ ,1,2018-05-26,ピストンクラブ 第２２回定期演奏会,●ピストンクラブ 第２２回定期演奏会2018年5月26日(土)川口総合文化センター リリア 音楽ホールピストンクラブ編： 「祭」の曲メドレー （世界初演）  他,http://i-amabile.com/concert/pistonclub22
33,Orchestra Ensemble Free ,2,2018-05-19,Orchestra Ensemble Free 第27回演奏会,●Orchestra Ensemble Free 第27回演奏会2018年5月19日(土)神戸文化ホール 大ホール　浅野 亮介指揮シューマン（阿部 俊祐編）： ピアノ五重奏曲 変ホ長調作品44 [管弦楽版初演] （世界初演）  他,http://i-amabile.com/concert/ensemblefree27
188,ドルチェ室内オーケストラ ,1,2018-05-05,ドルチェ室内オーケストラ 第11回定期演奏会,●ドルチェ室内オーケストラ 第11回定期演奏会2018年5月5日(土)サンシティ越谷市民ホール 小ホール　冨田 邦明、沓掛 純次郎指揮沓掛 純次郎： ドルチェ室内オーケストラのための三つの断章 （世界初演）  他,http://i-amabile.com/concert/dolce_co11
165,バリチューバアンサンブル “Legend Of Dragon” 2nd Concert,1,2018-05-05,バリチューバアンサンブル “Legend Of Dragon” 2nd Concert,●バリチューバアンサンブル “Legend Of Dragon” 2nd Concert2018年5月5日(土)ひの煉瓦ホールM.ムソルグスキー： 組曲「展覧会の絵」より（バリチューバ10重奏版） （世界初演）  他,http://i-amabile.com/concert/baritubaensemblelod2
240,マーキュリーバンド ,1,2018-05-04,マーキュリーバンド 第23回 MERCURY BAND 定期演奏会,●マーキュリーバンド 第23回 MERCURY BAND 定期演奏会2018年5月4日(金)宇都宮市文化会館　大ホール　鈴木　章郎、五十嵐　貴宏指揮他,http://i-amabile.com/concert/mercuryband23
267,神奈川県立弥栄高等学校吹奏楽部 ,1,2018-04-30,神奈川県立弥栄高等学校吹奏楽部 第10回記念定期演奏会,●神奈川県立弥栄高等学校吹奏楽部 第10回記念定期演奏会2018年4月30日(月)相模女子大学グリーンホール　大ホール　柏木葉二指揮柏木葉二： 委嘱曲 （世界初演）  他,http://i-amabile.com/concert/yaeibrass10
18,アリエッタ交響楽団 ,2,2018-04-22,アリエッタ交響楽団 第１０回演奏会ｰいよいよ，第九。-,●アリエッタ交響楽団 第１０回演奏会ｰいよいよ，第九。-2018年4月22日(日)和光市民文化センター　サンアゼリア　大ホール　大市　泰範指揮小林樹： Symphonic Piece （世界初演）  他,http://i-amabile.com/concert/arietta10
297,野猿フィルハーモニー管弦楽団 ,1,2018-03-25,野猿フィルハーモニー管弦楽団 第5回演奏会,●野猿フィルハーモニー管弦楽団 第5回演奏会2018年3月25日(日)八王子市芸術文化会館（いちょうホール）大ホール　藤原真指揮久石譲（編曲・岩田匡史）： 交響詩「風の谷のナウシカ」 （世界初演）  他,http://i-amabile.com/concert/yaen-phil5
46,サロン・ドゥ・螺 北夙川不可止プロデュース古楽シリーズvol.34(昼の部),1,2018-03-21,サロン・ドゥ・螺 北夙川不可止プロデュース古楽シリーズvol.34(昼の部),●サロン・ドゥ・螺 北夙川不可止プロデュース古楽シリーズvol.34(昼の部)2018年3月21日(水)サロン・ドゥ・螺バッハ： 無伴奏チェロ組曲第一番(早川版) （世界初演）  バッハ： 無伴奏チェロ組曲第四番(早川版) （世界初演）  バッハ： 無伴奏チェロ組曲第五番(早川版) （世界初演）  他,http://i-amabile.com/concert/ra_spiral180321_1
86,サロン・ドゥ・螺 北夙川不可止プロデュース古楽シリーズvol.34(夜の部),1,2018-03-21,サロン・ドゥ・螺 北夙川不可止プロデュース古楽シリーズvol.34(夜の部),●サロン・ドゥ・螺 北夙川不可止プロデュース古楽シリーズvol.34(夜の部)2018年3月21日(水)サロン・ドゥ・螺バッハ： 無伴奏チェロ組曲第一番(早川版) （世界初演）  バッハ： 無伴奏チェロ組曲第四番(早川版) （世界初演）  バッハ： 無伴奏チェロ組曲第五番(早川版) （世界初演）  他,http://i-amabile.com/concert/ra_spiral180321_2
38,作曲の会「Shining」 ,2,2018-03-20,作曲の会「Shining」 第10回作品展 吹奏楽公演,●作曲の会「Shining」 第10回作品展 吹奏楽公演2018年3月20日(火)国立オリンピック記念青少年総合センター 小ホール　竹内健人指揮石川健人： Frozen Planet （世界初演）  岩井晴輝： Departure 〜出航〜 （世界初演）  上野友裕： 渡り鳥 （世界初演）  尾方凜斗： パリンプセスト、あるいは重ね書きされた吹奏楽のための （世界初演）  葛西竜之介： Filmscape （世界初演）  仮屋賢一： ブルグミュラーの主題による綺想曲 （世界初演）  近藤礼隆： 吹奏楽のための狂詩曲 ～九頭龍大神の伝説による （世界初演）  他,http://i-amabile.com/concert/shining_yca10
8,アンサンブル・フリーEAST ,4,2018-03-10,アンサンブル・フリーEAST 第9回演奏会,●アンサンブル・フリーEAST 第9回演奏会2018年3月10日(土)杉並公会堂大ホール　浅野亮介指揮薮田翔一： 《Gush》　～Concerto for Vibraphone and Orchestra～　I.(関東初演)　II.(世界初演) （世界初演）  他,http://i-amabile.com/concert/ensemblefree_east9
